blockno	trialno	time	Xmouse	Ymouse	Xcursor	Ycursor	Xtarget	Ytarget	target_angle	rotation	jitter	feedback
1	14	2.3505	5	-1	5	-1	213.33	369.5	60	0	0	0
1	14	2.3672	5	1	5	1	213.33	369.5	60	0	0	0
1	14	2.3838	7	3	7	3	213.33	369.5	60	0	0	0
1	14	2.4005	7	6	7	6	213.33	369.5	60	0	0	0
1	14	2.4172	9	9	9	9	213.33	369.5	60	0	0	0
1	14	2.4339	9	12	9	12	213.33	369.5	60	0	0	0
1	14	2.4505	10	15	10	15	213.33	369.5	60	0	0	0
1	14	2.4672	12	19	12	19	213.33	369.5	60	0	0	0
1	14	2.4839	15	24	15	24	213.33	369.5	60	0	0	0
1	14	2.5005	15	24	15	24	213.33	369.5	60	0	0	0
1	14	2.5172	15	24	15	24	213.33	369.5	60	0	0	0
1	14	2.5339	15	25	15	25	213.33	369.5	60	0	0	0
1	14	2.5505	17	28	17	28	213.33	369.5	60	0	0	0
1	14	2.5672	17	31	17	31	213.33	369.5	60	0	0	0
1	14	2.5839	18	32	18	32	213.33	369.5	60	0	0	0
1	14	2.6006	19	34	19	34	213.33	369.5	60	0	0	0
1	14	2.6172	19	34	19	34	213.33	369.5	60	0	0	0
1	14	2.6339	19	34	19	34	213.33	369.5	60	0	0	0
1	14	2.6506	20	35	20	35	213.33	369.5	60	0	0	0
1	14	2.6672	20	35	20	35	213.33	369.5	60	0	0	0
1	14	2.6839	23	41	23	41	213.33	369.5	60	0	0	0
1	14	2.7006	23	44	23	44	213.33	369.5	60	0	0	0
1	14	2.7173	27	48	27	48	213.33	369.5	60	0	0	0
1	14	2.7339	28	51	28	51	213.33	369.5	60	0	0	0
1	14	2.7506	30	53	30	53	213.33	369.5	60	0	0	0
1	14	2.7673	31	57	31	57	213.33	369.5	60	0	0	0
1	14	2.7839	33	60	33	60	213.33	369.5	60	0	0	0
1	14	2.8006	35	63	35	63	213.33	369.5	60	0	0	0
1	14	2.8173	37	66	37	66	213.33	369.5	60	0	0	0
1	14	2.8339	39	71	39	71	213.33	369.5	60	0	0	0
1	14	2.8506	42	75	42	75	213.33	369.5	60	0	0	0
1	14	2.8673	45	79	45	79	213.33	369.5	60	0	0	0
1	14	2.884	46	83	46	83	213.33	369.5	60	0	0	0
1	14	2.9006	47	83	47	83	213.33	369.5	60	0	0	0
1	14	2.9173	47	84	47	84	213.33	369.5	60	0	0	0
1	14	2.934	48	84	48	84	213.33	369.5	60	0	0	0
1	14	2.9506	48	84	48	84	213.33	369.5	60	0	0	0
1	14	2.9674	48	84	48	84	213.33	369.5	60	0	0	0
1	14	2.984	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.0007	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.0174	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.034	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.0506	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.0673	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.084	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.1007	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.1174	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.134	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.1507	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.1674	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.184	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.2007	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.2174	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.234	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.2507	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.2674	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.284	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.3007	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.3174	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.3341	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.3508	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.3674	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.3841	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.4008	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.4174	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.4341	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.4508	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.4674	48	84	48	84	213.33	369.5	60	0	0	0
1	14	3.4841	48	84	48	84	213.33	369.5	60	0	0	0
